trade_partner,sku,product_type,total_quantity,mean_quantity,median_quantity,total_gross_sales,mean_gross_sales,median_gross_sales,total_dcm,mean_dcm,median_dcm,total_demand,mean_demand,median_demand,mean_total_variable_cost,median_total_variable_cost,mean_price_final,median_price_final,mean_price_list,median_price_list,price_final_var,quantity_var,price_final_std,price_final_var_coeff,quantity_std,quantity_var_coeff
BODEGA AURRERA,WM1514D,Microwave,21.0,0.84,0.0,0.0,0.0,0.0,-27253.737499999996,-1090.1494999999998,0.0,64490.0,2579.6,0.0,1285.68,1272.2875,3070.9523809523807,2990.0,3566.190476190476,3490.0,83333.33333333333,5.890000000000001,288.67513459481285,27.13599007598077,2.4269322199023193,7.011904761904763
BODEGA AURRERA,WM1807D,Microwave,119.0,1.9508196721311475,0.0,171955.68,2818.9455737704916,0.0,65219.72705166761,1069.1758533060263,0.0,286970.240234375,4704.43016777664,0.0,871.6565028144016,831.4813882813924,2411.5146238182774,2490.0,2525.884371717437,2490.0,184167.17518423006,16.14754098360656,429.1470321279527,76.36991845922482,4.0184003015636165,8.27731092436975
BODEGA AURRERA,WM1811D,Microwave,103.0,0.9903846153846154,0.0,0.0,0.0,0.0,-128166.58928571429,-1232.3710508241759,0.0,266020.0,2557.8846153846152,0.0,1256.714182692308,1234.1967857142859,2582.7184466019417,2590.0,2990.0,2990.0,294230.17438386864,11.524178491411487,542.4298796930979,113.92266732403004,3.394728043807263,11.636063719483442
BODEGA AURRERA,WT1130M,Refrigerators,72.0,1.3584905660377358,0.0,17181.89,324.1866037735849,0.0,-389072.85282628494,-7340.997223137451,0.0,647780.0,12222.264150943396,0.0,5591.384092917982,5843.390136542455,8996.944444444445,8490.0,10490.0,10490.0,505486.2119013061,19.888243831640047,710.9755353746752,56.18420954165617,4.459623732069786,14.639957264957257
BODEGA AURRERA,WT1230K,Refrigerators,576.0,7.783783783783784,1.0,6062.33,81.92337837837837,0.0,-3082502.5899091847,-41655.440404178175,-5607.925410638556,5126749.0,69280.3918918919,8990.0,5524.564357237172,5467.727275372592,8900.605902777777,8490.0,10966.5625,10990.0,1238775.8343206213,370.71973343206196,1113.0030702206627,139.17882084117593,19.254083552121145,47.62718797564685
BODEGA AURRERA,WT1726A,Refrigerators,38.0,9.5,0.5,0.0,0.0,0.0,-243303.96,-60825.99,-3365.2,436322.0302734375,109080.50756835938,5596.01513671875,6646.27,6730.4,11482.15869140625,11490.0,13990.0,13990.0,22196.489486932755,336.3333333333333,148.98486328125,1.9331286113947874,18.33939293797189,35.40350877192982
BODEGA AURRERA,WT32209D,Refrigerators,823.0,20.575,7.0,0.0,0.0,0.0,-4127661.275885285,-103191.53189713212,-37029.21937293939,7141770.0,178544.25,64930.0,5044.747308299408,4902.8234709815215,8677.727825030377,7990.0,10990.0,10990.0,1703461.5384615385,1327.2249999999995,1305.1672453986648,196.30271573487332,36.43109935206457,64.50668286755769
BODEGA AURRERA,WW21BBAHME,Washing Machine,2.0,0.2857142857142857,0.0,0.0,0.0,0.0,-11466.99595959596,-1638.14227994228,0.0,16980.0,2425.714285714286,0.0,5733.497979797981,5733.49797979798,8490.0,8490.0,11290.0,11290.0,1120000.0,0.23809523809523817,1058.3005244258363,131.91990577149588,0.48795003647426666,0.8333333333333336
CHEDRAUI,7MWFC6820LW,Washing Machine,259.0,8.09375,4.5,3297909.38,103059.668125,77566.725,123407.13118823577,3856.472849632368,16924.685400000024,5641322.0,176291.3125,89977.5,12218.773788235292,12153.969399999998,21781.166023166024,23395.0,24995.0,24995.0,4369415.611895162,225.11995967741936,2090.314715992585,200.6052204573408,15.00399812308104,27.81404907211359
CHEDRAUI,7MWFW5605MW,Washing Machine,133.0,2.418181818181818,1.0,1438261.21,26150.203818181817,16375.02,132324.09166666665,2405.8925757575753,0.0,2586106.5,47020.11818181818,21695.0,9979.688317575756,10008.333599999998,19444.40977443609,19495.0,23301.766917293233,22995.0,4777218.377819866,15.025589225589224,2185.6848761474894,245.68595463877537,3.8762854933027344,6.213589529379003
CHEDRAUI,7MWGD1730JQ,Dryer,845.0,10.180722891566266,7.0,5768594.97,69501.14421686747,46108.1,1138385.8142926288,13715.491738465407,10188.862111801252,8124468.5,97885.1626506024,64372.0,5321.8773613872645,5060.195652173912,9614.755621301776,8995.0,11495.0,11495.0,1532231.4105201287,173.22303849544525,1237.8333532911968,159.36249145276503,13.161422358371654,17.014807331505274
CHEDRAUI,7MWGD2040JM,Dryer,495.0,11.511627906976743,10.0,3880078.4500000007,90234.38255813955,78185.5,1335127.6101655434,31049.479306175428,30097.867142857154,4781252.75,111191.92441860466,99950.0,5183.160186647476,5056.125185185186,9659.096464646465,9495.0,11208.535353535353,10995.0,455159.9471899227,66.16057585825025,674.6554284891827,47.12241448833922,8.133915161731787,5.747282347282346
CHEDRAUI,7MWGD6605MW,Dryer,105.0,11.666666666666666,5.0,574492.77,63832.53,27837.99,-175133.87857142856,-19459.31984126984,4334.508571428567,1836498.75,204055.41666666666,85477.5,7203.171904761904,7078.979285714286,17490.464285714286,18995.0,18995.0,18995.0,9785946.484375,418.0,3128.249747762317,559.5018133605454,20.445048300260872,35.82857142857143
CHEDRAUI,7MWTW5057PW,Washing Machine,119.0,14.875,16.0,1231846.33,153980.79125,180957.405,505993.9299999998,63249.24124999998,77989.65,1517019.0,189627.375,211042.0,6099.600000000001,6099.600000000001,12748.058823529413,11898.0,16019.36974789916,16695.0,3509259.0714285714,34.69642857142857,1873.3016498761142,275.2779164268872,5.89036743942418,2.332533013205282
CHEDRAUI,8MWTW1612MJQ,Washing Machine,14614.0,132.85454545454544,89.0,91346169.91000001,830419.7264545455,612089.875,26433092.29393247,240300.83903574973,213520.92671249917,113578887.5,1032535.3409090909,738032.5,4416.011162620153,4274.81,7771.923326946763,7795.0,9977.557821267277,9895.0,753647.2807339453,23558.712593828197,868.1286084065802,96.9704986822122,153.48847707182514,177.32710998502134
CHEDRAUI,8MWTW1823WJM,Washing Machine,3145.0,52.416666666666664,39.5,23316408.71,388606.81183333334,279592.58999999997,8747144.619938634,145785.7436656439,96476.00111977576,29660945.0,494349.0833333333,363657.5,4506.592868406211,4401.001494450823,9431.143084260731,8995.0,12154.777424483307,11995.0,1644270.7692620063,2089.264124293785,1282.2912185857026,174.34480153376805,45.70846884652542,39.858775026272525
CHEDRAUI,8MWTW1934WJM,Washing Machine,879.0,51.705882352941174,38.0,7655047.62,450296.91882352944,338793.18,2995417.460586491,176201.027093323,138541.95931034486,9217620.0,542212.9411764706,417810.0,5271.999501187716,5297.670560066221,10486.484641638226,10316.0,12895.0,12895.0,1393027.9411764704,2315.095588235294,1180.2660467777891,132.84031672971085,48.11544022697178,44.774317406143346
CHEDRAUI,8MWTW2024WJM,Washing Machine,2565.0,45.80357142857143,28.0,20509616.81,366243.15732142853,250033.745,8962631.56214099,160046.9921810891,117983.72979934224,25736992.0,459589.14285714284,322200.0,4493.487949001049,4450.29090909091,10033.915009746588,9995.0,12538.586744639377,12295.0,915694.2220779221,1798.997077922077,956.9191303751442,91.25991412010659,42.41458567429461,39.27634945950734
CHEDRAUI,8MWTW2224MPM,Washing Machine,3521.0,76.54347826086956,56.5,28547726.729999997,620602.7549999999,491198.12,13190835.488230849,286757.29322240973,243856.7560968966,33824424.0,735313.5652173914,592967.5,4350.906732681519,4355.759375000001,9606.482249360977,10495.0,10704.495597841522,10495.0,693588.6690821256,5190.031400966182,832.8197098304804,72.20006773324992,72.04187255316302,67.80501120262551
CHEDRAUI,8MWTW2640WJB,Washing Machine,37.0,1.6818181818181819,1.0,468387.3499999999,21290.334090909088,13918.07,258749.20454545447,11761.32747933884,8333.447272727271,558115.0,25368.863636363636,16795.0,5675.7471074380155,5727.818181818182,15084.18918918919,14495.0,18778.783783783783,18495.0,1341094.493506494,4.32251082251082,1158.0563429758045,88.90729734864728,2.079064891366025,2.570141570141568
CHEDRAUI,AF5334D,Ranges,593.0,25.782608695652176,17.0,3297411.18,143365.70347826087,95185.32,1399334.2061904762,60840.617660455486,42528.88587301589,3919998.5,170434.71739130435,111840.0,3161.2289164941326,3097.437301587301,6610.452782462057,6495.0,6653.516020236088,6495.0,72305.95948616602,588.9051383399209,268.89767475038906,10.938125097572472,24.267367767022463,22.84117737237467
CHEDRAUI,AF5431B,Ranges,6596.0,89.13513513513513,46.5,31025182.08,419259.21729729726,221175.60499999998,11599160.37476524,156745.41046980052,98602.7709521531,38914760.75,525875.1452702703,273607.5,2846.4701533289376,2752.1288888888885,5899.751478168587,5595.0,6995.0,6995.0,596595.2930974641,10320.776008885598,772.3958137493134,101.12210578786286,101.59122013680906,115.78796613971107
CHEDRAUI,AF6413D,Ranges,565.0,15.27027027027027,13.0,3507597.9800000004,94799.94540540542,67190.89,1352227.3032577909,36546.68387183219,21800.52333333333,4657450.0,125877.02702702703,100035.0,3718.275419178033,3744.866470588235,8243.274336283186,7995.0,10045.0,10045.0,1228309.297297297,253.98048048048045,1108.291160885666,149.00745106720905,15.936765056951817,16.632350049164206
CHEDRAUI,AFR2110B,Ranges,3585.0,96.89189189189189,89.0,17949468.18,485120.7616216216,462285.4,7487756.47585226,202371.7966446557,191628.92304347828,21269402.0,574848.7027027027,533555.0,2932.962661249143,2992.238879159369,5932.887587168759,5698.0,7711.875871687587,7995.0,321649.42980480497,2878.8213213213226,567.1414548459713,54.21465097374274,53.65464864595912,29.71168448783513
CHEDRAUI,AFR7122G,Ranges,1526.0,26.771929824561404,21.0,9950519.07,174570.51,144384.31,4277399.057387104,75042.08872608955,61820.5996551724,12053425.0,211463.59649122806,167895.0,3695.0586876908897,3636.068,7898.705766710354,7995.0,8230.255570117955,7995.0,210763.66979949884,476.57205513784476,459.09004541538343,26.683316991978234,21.830530344859806,17.80118423516196
CHEDRAUI,AFR7148G,Ranges,1314.0,22.655172413793103,18.0,9193600.58,158510.3548275862,124130.26999999999,3876594.295101889,66837.8326741705,52867.29388888889,11138339.0,192040.3275862069,152120.0,4046.5112479807594,4037.615051903114,8476.665905631658,8396.0,10495.0,10495.0,670129.6240169385,206.15970961887476,818.6144538285031,79.05580230214373,14.358262764654878,9.099895858367379
CHEDRAUI,ALD1945JE,Washing Machine,1973.0,70.46428571428571,66.0,11034437.510000004,394087.0539285716,389345.235,4439511.618247972,158553.986365999,142330.7609871897,14842693.0,530096.1785714285,478740.0,3313.1009198031566,3344.33593495935,7522.905727318804,6995.0,7709.144956918399,6995.0,1244765.1375661374,2218.4801587301586,1115.6904308840053,165.4633439105686,47.10074477893273,31.48375288618573
CHEDRAUI,ALF2253EB,Washing Machine,317.0,11.321428571428571,10.5,1230263.55,43937.98392857143,41397.025,556472.257560316,19874.009198582713,18856.50861246349,1519834.25,54279.794642857145,49247.5,2112.1818600027577,2139.1063291139235,4794.429810725552,4795.0,5181.908517350158,5295.0,142846.89178240742,50.744708994708986,377.95091186873384,29.794344149714455,7.123532058937405,4.482182497955368
CHEDRAUI,AM1807W,Microwave,1914.0,58.0,40.0,2719059.41,82395.7396969697,53656.2,1133868.3658786404,34359.647450867895,21922.1993190534,3244423.0,98315.84848484848,64600.0,827.0032950401937,791.7380194805195,1695.1008359456634,1695.0,1795.0,1795.0,6379.910511363638,2651.8125,79.87434200895578,3.7637350982747946,51.495752252006184,45.720905172413794
